feature_position,feature_name
0,numerical_pipeline__tenure
1,numerical_pipeline__MonthlyCharges
2,numerical_pipeline__TotalCharges
3,categorical_pipeline__gender_Female
4,categorical_pipeline__gender_Male
5,categorical_pipeline__Partner_No
6,categorical_pipeline__Partner_Yes
7,categorical_pipeline__Dependents_No
8,categorical_pipeline__Dependents_Yes
9,categorical_pipeline__PhoneService_No
10,categorical_pipeline__PhoneService_Yes
11,categorical_pipeline__PaperlessBilling_No
12,categorical_pipeline__PaperlessBilling_Yes
13,categorical_pipeline__MultipleLines_No
14,categorical_pipeline__MultipleLines_No phone service
15,categorical_pipeline__MultipleLines_Yes
16,categorical_pipeline__InternetService_DSL
17,categorical_pipeline__InternetService_Fiber optic
18,categorical_pipeline__InternetService_No
19,categorical_pipeline__OnlineSecurity_No
20,categorical_pipeline__OnlineSecurity_No internet service
21,categorical_pipeline__OnlineSecurity_Yes
22,categorical_pipeline__OnlineBackup_No
23,categorical_pipeline__OnlineBackup_No internet service
24,categorical_pipeline__OnlineBackup_Yes
25,categorical_pipeline__DeviceProtection_No
26,categorical_pipeline__DeviceProtection_No internet service
27,categorical_pipeline__DeviceProtection_Yes
28,categorical_pipeline__TechSupport_No
29,categorical_pipeline__TechSupport_No internet service
30,categorical_pipeline__TechSupport_Yes
31,categorical_pipeline__StreamingTV_No
32,categorical_pipeline__StreamingTV_No internet service
33,categorical_pipeline__StreamingTV_Yes
34,categorical_pipeline__StreamingMovies_No
35,categorical_pipeline__StreamingMovies_No internet service
36,categorical_pipeline__StreamingMovies_Yes
37,categorical_pipeline__Contract_Month-to-month
38,categorical_pipeline__Contract_One year
39,categorical_pipeline__Contract_Two year
40,categorical_pipeline__PaymentMethod_Bank transfer (automatic)
41,categorical_pipeline__PaymentMethod_Credit card (automatic)
42,categorical_pipeline__PaymentMethod_Electronic check
43,categorical_pipeline__PaymentMethod_Mailed check
